Name;Category;Type;Producer;min_EBC;max_EBC;Cost_price_per_kg;Link
Extra Pale Premium Pilsnermalt;Malt;Basemalt;Weyermann;2;3.5;;https://mr-malt.se/malt/weyermann/basmalt/premium-pilsnermalt/
Pilsnermalt;Malt;Basemalt;Weyermann;2.5;4.5;;https://mr-malt.se/malt/weyermann/basmalt/pilsnermalt/
Enzymatisk Kornmalt;Malt;Basemalt;Weyermann;2.5;4;;https://mr-malt.se/malt/weyermann/basmalt/enzymatisk-kornmalt/
Eraclea pilsnermalt;Malt;Basemalt;Weyermann;2.5;4.5;;https://mr-malt.se/malt/weyermann/basmalt/eraclea-pilsnermalt/
Barke Pilsnermalt;Malt;Basemalt;Weyermann;2.5;4.5;;https://mr-malt.se/malt/weyermann/basmalt/barke/Barke-pilsnermalt/
Ekologisk Pilsnermalt;Malt;Basemalt;Weyermann;2.8;4;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-pilsnermalt/
Extra Pale Maris Otter Malt;Malt;Basemalt;Crisp;3;4;;https://mr-malt.se/malt/crisp/basmalt/extra-pale-maris-otter-malt/
Extra Pale Malt;Malt;Basemalt;Crisp;3;4;;https://mr-malt.se/malt/crisp/basmalt/extra-pale-malt/
Pilsnermalt;Malt;Basemalt;Viking;3;4.5;;https://mr-malt.se/en/malt/viking/
Golvmältad Böhmisk Pilsnermalt;Malt;Basemalt;Weyermann;3;5;;https://mr-malt.se/malt/weyermann/basmalt/golvmaltad-bohmisk-malt/golvmaltad-bohmisk-pilsnermalt/
Vetemalt;Malt;Basemalt;Weyermann;3;5;;https://mr-malt.se/malt/weyermann/basmalt/vetemalt/
Ekologisk Vetemalt;Malt;Basemalt;Weyermann;3;5;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-vetemalt/
Golvmältad Böhmisk Vetemalt;Malt;Basemalt;Weyermann;3;5.5;;https://mr-malt.se/malt/weyermann/basmalt/golvmaltad-bohmisk-malt/golvmaltad-bohmisk-vetemalt/
Ekologisk Balder pale ale malt;Malt;Basemalt;Warbro;4;6;;https://mr-malt.se/malt/warbro/balder-pale-ale-malt/
Ekrökt Vetemalt;Malt;Basemalt;Weyermann;4;6;;https://mr-malt.se/malt/weyermann/rokt-malt/ekrokt-vetemalt/
Pale ale malt;Malt;Basemalt;Viking;4;6;;https://mr-malt.se/en/malt/viking/
Bokrökt Kornmalt;Malt;Basemalt;Weyermann;4;8;;https://mr-malt.se/malt/weyermann/rokt-malt/bokrokt-kornmalt/
No 19 Floor Malted Maris Otter Malt;Malt;Basemalt;Crisp;4.4;7.2;;https://mr-malt.se/malt/crisp/basmalt/no-19-floor-malted-maris-otter/
Golden Promise Pale Ale Malt;Malt;Basemalt;Thomas Fawcett;4.5;5.5;;https://mr-malt.se/malt/thomas-fawcett/
Chevallier Heritage Malt;Malt;Basemalt;Crisp;5;7.3;;https://mr-malt.se/malt/crisp/basmalt/chevallier-heritage-malt/
Pale Ale Malt;Malt;Basemalt;Weyermann;5.5;7.5;;https://mr-malt.se/malt/weyermann/basmalt/pale-ale-malt/
Ekologisk Pale Ale Malt;Malt;Basemalt;Weyermann;5.5;7.5;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-pale-ale-malt/
Maris Otter Ale Malt;Malt;Basemalt;Crisp;5.5;7.5;;https://mr-malt.se/malt/crisp/basmalt/maris-otter-ale-malt/
Best Ale Malt;Malt;Basemalt;Crisp;5.5;7.5;;https://mr-malt.se/malt/crisp/basmalt/best-ale-malt/
Wienermalt;Malt;Basemalt;Weyermann;6;9;;https://mr-malt.se/malt/weyermann/basmalt/wienermalt/
Ekologisk Wienermalt;Malt;Basemalt;Weyermann;6;9;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-wienermalt/
Barke Wienermalt;Malt;Basemalt;Weyermann;6;9;;https://mr-malt.se/malt/weyermann/basmalt/barke/Barke-wienermalt/
Isaria 1924®;Malt;Basemalt;Weyermann;7;9;;https://mr-malt.se/malt/weyermann/basmalt/isaria-1924/
Belgisk Alemalt;Malt;Basemalt;Dingemans;8;10;;https://mr-malt.se/malt/dingemans/belgisk-alemalt/
Munich Malt typ 1;Malt;Basemalt;Weyermann;12;18;;https://mr-malt.se/malt/weyermann/basmalt/munich-malt/munich-malt-typ-1/
Mörk Vetemalt;Malt;Basemalt;Weyermann;15;20;;https://mr-malt.se/malt/weyermann/basmalt/mork-vetemalt/
Barke Münchnermalt;Malt;Basemalt;Weyermann;17;22;;https://mr-malt.se/malt/weyermann/basmalt/barke/Barke-munchnermalt/
Ekologisk Münchnermalt;Malt;Basemalt;Weyermann;18;24;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-munchnermalt/
Munich Malt typ 2;Malt;Basemalt;Weyermann;20;25;;https://mr-malt.se/malt/weyermann/basmalt/munich-malt/munich-malt-typ-2/
Dextrin Malt;Malt;Caramel;Crisp;2.5;3.5;;https://mr-malt.se/malt/crisp/karamellmalt/dextrin-malt/
Carapils®;Malt;Caramel;Weyermann;2.5;6.5;;https://mr-malt.se/malt/weyermann/karamellmalt/carapils/
Ekologisk Carapils®;Malt;Caramel;Weyermann;2.5;6.5;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-carapils/
Cara Gold Malt;Malt;Caramel;Crisp;13;17;;https://mr-malt.se/malt/crisp/karamellmalt/cara-gold-malt/
Carahell®;Malt;Caramel;Weyermann;20;30;;https://mr-malt.se/malt/weyermann/karamellmalt/carahell/
Ekologisk Carahell®;Malt;Caramel;Weyermann;20;30;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-carahell/
Cara Malt;Malt;Caramel;Crisp;25;35;;https://mr-malt.se/malt/crisp/karamellmalt/cara-malt/
Carabelge®;Malt;Caramel;Weyermann;30;35;;https://mr-malt.se/malt/weyermann/karamellmalt/carabelge/
Carared®;Malt;Caramel;Weyermann;40;60;;https://mr-malt.se/malt/weyermann/karamellmalt/carared/
Ekologisk Carared®;Malt;Caramel;Weyermann;40;60;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-carared/
Caravienne;Malt;Caramel;Dingemans;40;60;;https://mr-malt.se/malt/Dingemans/caravienne/
Caraamber®;Malt;Caramel;Weyermann;60;80;;https://mr-malt.se/malt/weyermann/karamellmalt/caraamber/
Caramünch® typ 1;Malt;Caramel;Weyermann;80;100;;https://mr-malt.se/malt/weyermann/karamellmalt/caramunch/caramunch-typ-1/
Crystal 100;Malt;Caramel;Crisp;100;120;;https://mr-malt.se/malt/crisp/karamellmalt/crystal-100/
Ekologisk Cara 120;Malt;Caramel;Dingemans;100;140;;https://mr-malt.se/malt/Dingemans/cara-120/
Caramünch® typ 2;Malt;Caramel;Weyermann;110;130;;https://mr-malt.se/malt/weyermann/karamellmalt/caramunch/caramunch-typ-2/
Carawheat®;Malt;Caramel;Weyermann;110;140;;https://mr-malt.se/malt/weyermann/karamellmalt/carawheat/
Ekologisk Caramünch®;Malt;Caramel;Weyermann;110;130;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-caramunch/
Caramünch® typ 3;Malt;Caramel;Weyermann;140;160;;https://mr-malt.se/malt/weyermann/karamellmalt/caramunch/caramunch-typ-3/
Cararye®;Malt;Caramel;Weyermann;150;200;;https://mr-malt.se/malt/weyermann/karamellmalt/cararye/
Crystal 150;Malt;Caramel;Crisp;160;180;;https://mr-malt.se/malt/crisp/karamellmalt/crystal-150/
Carabohemian®;Malt;Caramel;Weyermann;170;220;;https://mr-malt.se/malt/weyermann/karamellmalt/carabohemian/
Crystal 240;Malt;Caramel;Crisp;250;290;;https://mr-malt.se/malt/crisp/karamellmalt/crystal-240/
Special W®;Malt;Caramel;Weyermann;250;300;;https://mr-malt.se/malt/weyermann/karamellmalt/special-w/
Special B;Malt;Caramel;Dingemans;270;350;;https://mr-malt.se/malt/Dingemans/special-B/
Caraaroma®;Malt;Caramel;Weyermann;350;450;;https://mr-malt.se/malt/weyermann/karamellmalt/caraaroma/
Crystal 400;Malt;Caramel;Crisp;420;480;;https://mr-malt.se/malt/crisp/karamellmalt/crystal-400/
Aromatic malt;Malt;Roasted;Dingemans;40;60;;https://mr-malt.se/malt/Dingemans/Aromatic-malt/
Biscuit malt;Malt;Roasted;Dingemans;47;70;;https://mr-malt.se/malt/Dingemans/Biscuit-malt/
Melanoidinmalt;Malt;Roasted;Weyermann;60;80;;https://mr-malt.se/malt/weyermann/rostad-malt/melanoidinmalt/
Amber Malt;Malt;Roasted;Crisp;60;80;;https://mr-malt.se/malt/crisp/rostad-malt/Amber-Malt/
Brown Malt;Malt;Roasted;Crisp;120;150;;https://mr-malt.se/malt/crisp/rostad-malt/Brown-Malt/
Low Colour Chocolate Malt;Malt;Roasted;Crisp;450;650;;https://mr-malt.se/malt/crisp/rostad-malt/low-colour-chocolate-malt/
Chokladrågmalt;Malt;Roasted;Weyermann;500;800;;https://mr-malt.se/malt/weyermann/rostad-malt/chokladragmalt/
Carafa® typ 1 Special;Malt;Roasted;Weyermann;800;1000;;https://mr-malt.se/malt/weyermann/rostad-malt/carafa/Carafa-typ-1-Special/
Chocolate Malt;Malt;Roasted;Crisp;900;1100;;https://mr-malt.se/malt/crisp/rostad-malt/Chocolate-Malt/
Ekologisk Carafa®;Malt;Roasted;Weyermann;1000;1200;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-carafa/
Rostat Korn;Malt;Roasted;Weyermann;1000;1300;;https://mr-malt.se/malt/weyermann/rostad-malt/rostat-korn/
Carafa® typ 2 Special;Malt;Roasted;Weyermann;1100;1200;;https://mr-malt.se/malt/weyermann/rostad-malt/carafa/Carafa-typ-2-Special/
Black Malt;Malt;Roasted;Crisp;1300;1400;;https://mr-malt.se/malt/crisp/rostad-malt/Black-Malt/
Carafa® typ 3 Special;Malt;Roasted;Weyermann;1300;1500;;https://mr-malt.se/malt/weyermann/rostad-malt/carafa/Carafa-typ-3-Special/
Sinamar;Malt;Roasted;Weyermann;8100;8600;;https://mr-malt.se/malt/weyermann/rostad-malt/sinamar/
Rågmalt;Malt;Rye;Weyermann;4;10;;https://mr-malt.se/malt/weyermann/basmalt/ragmalt/
Cararye®;Malt;Rye;Weyermann;150;200;;https://mr-malt.se/malt/weyermann/karamellmalt/Cararye/
Chokladrågmalt;Malt;Rye;Weyermann;500;800;;https://mr-malt.se/malt/weyermann/rostad-malt/chokladragmalt/
Torrefied Oats;Malt;Oats;Crisp;2;3;;https://mr-malt.se/malt/crisp/flaked-torrefied-oats/
Naked Oat Malt;Malt;Oats;Crisp;2;3;;https://mr-malt.se/malt/crisp/Naked-oat-malt/
Torrefied Wheat;Malt;Wheat;Crisp;2.8;5;;https://mr-malt.se/malt/crisp/basmalt/torrefied-wheat/
Vetemalt;Malt;Wheat;Weyermann;3;5;;https://mr-malt.se/malt/weyermann/basmalt/vetemalt/
Ekolgisk Vetemalt;Malt;Wheat;Weyermann;3;5;;https://mr-malt.se/malt/weyermann/weyermann-ekologisk-malt/ekologisk-vetemalt/
Ekologisk svensk vetemalt;Malt;Wheat;Warbro;3;5;;https://mr-malt.se/malt/warbro/svensk-vetemalt/
Golvmältad Böhmisk Vetemalt;Malt;Wheat;Weyermann;3;5.5;;https://mr-malt.se/malt/weyermann/basmalt/golvmaltad-bohmisk-malt/golvmaltad-bohmisk-vetemalt/
Ekrökt Vetemalt;Malt;Wheat;Weyermann;4;6;;https://mr-malt.se/malt/weyermann/rokt-malt/ekrokt-vetemalt/
Carawheat®;Malt;Wheat;Weyermann;110;140;;https://mr-malt.se/malt/weyermann/karamellmalt/Carawheat/
Spraymalt Extra Light;Malt;Extract;Muntons ;6;8;;https://mr-malt.se/malt/maltextrakt/spraytorkat-maltextrakt/spraymalt-extra-light-muntons-25-kg
Flaked Torrefied Barley;Malt;Unmalted;Crisp;2;4;;
Syramalt;Malt;Special;Weyermann;3;6;;
Spraymalt Wheat;Malt;Extract;Muntons;6;10;;
