name;category;type;producer;inventory_amount;cost_price_per_kg;link
Ahtanum;hops;T90;;;;
Amarillo;hops;T90;;;;
American Noble Hops Cascade;hops;T90;;;;
American Noble Hops Citra;hops;T90;;;;
American Noble Hops Mosaic;hops;T90;;;;
American Noble Hops Simcoe;hops;T90;;;;
Azacca;hops;T90;;;;
Bramling Cross;hops;T90;;;;
Cascade;hops;T90;;;;
Cashmere;hops;T90;;;;
Centennial;hops;T90;;;;
Chinook;hops;T90;;;;
Citra;hops;T90;;;;
Columbus/Tomahawk;hops;T90;;;;
Cryo Cascade;hops;Cryo;;;;
Cryo Citra;hops;Cryo;;;;
Cryo Mosaic;hops;Cryo;;;;
Cryo Pop Original Blend;hops;Cryo;;;;
Dolcita (HBC 1019);hops;T90;;;;
East Kent Golding;hops;T90;;;;
El Dorado;hops;T90;;;;
Ella;hops;T90;;;;
Fuggle;hops;T90;;;;
Galaxy;hops;T90;;;;
Hallertau Blanc;hops;T90;;;;
Hallertauer Mittelfrüh;hops;T90;;;;
Harlequin;hops;T90;;;;
Herkules;hops;T90;;;;
Huell Melon;hops;T90;;;;
Idaho 7;hops;T90;;;;
Lemondrop;hops;T90;;;;
Magnum;hops;T90;;;;
Mandarina Bavaria;hops;T90;;;;
Mosaic;hops;T90;;;;
Motueka;hops;T90;;;;
Moutere;hops;T90;;;;
Nelson Sauvin;hops;T90;;;;
Northern Brewer;hops;T90;;;;
Perle;hops;T90;;;;
Riwaka;hops;T90;;;;
Saaz;hops;T90;;;;
Sabro;hops;T90;;;;
Simcoe;hops;T90;;;;
Spalter Select;hops;T90;;;;
Styrian Golding / Bobek;hops;T90;;;;
Styrian Golding / Celeia;hops;T90;;;;
Superdelic;hops;T90;;;;
Taiheke;hops;T90;;;;
Talus;hops;T90;;;;
Target;hops;T90;;;;
Tettnanger;hops;T90;;;;
Wai-iti;hops;T90;;;;
Willamette;hops;T90;;;;
